YEAR_OBS,MONSOON,POMRB,POMKH,PREMON
2010,4.27,2.47,3.25,4.72
2009,2.27,6.13,NA,3.25
2009,8.9,9.52,6.99,10.78
2009,20.59,18.24,18.37,20.81
2009,9.04,9.04,7.45,9.04
2009,0.77,1.92,1,3.28
2009,6.35,12.13,14.3,12.68
2009,2.37,3.52,3.83,2.65
2009,1.92,2.88,1.31,2.83
2009,17.96,11.55,13.78,18.7
2009,23.76,17.6,19.93,23.06
2009,8.77,7.93,8.59,10.8
2009,8.49,8,6.86,9.59
2009,NA,7.8,7.8,7.8
2009,30.49,NA,27.31,30.8
2009,31.95,29.9,28.44,32.29
2009,12.02,NA,12.02,12.02
2009,26.05,25.97,29.22,25.3
2009,2.82,4.62,3.77,3.85
2009,16.5,11.23,17.69,15.23
2009,20.56,18.4,22.18,20.55
2009,2.71,2.83,2.48,3.38
2009,4.22,5.25,3.47,7.57
2009,1.52,1.7,1.66,2.22
2009,28.81,NA,10.71,28.7
2009,28.81,26.52,25.69,28.7
2009,5.67,5.71,4.61,7.81
2009,35.18,32.6,40.53,35.38
2009,2.98,5.04,2.11,5.09
2008,2.8,3.32,3.02,2.15
2008,NA,2.5,1.17,8.56
2008,19.58,19.17,17.99,19.57
2008,9.04,6.82,7.14,7.57
2008,1.33,1.22,0.75,4.6
2008,14.46,16.05,12.4,16.25
2008,2.09,3.7,2.84,1.45
2008,2.45,2.56,2.11,1.22
2008,6.72,NA,NA,10.66
2008,5.8,16.14,11.63,22.04
2008,23.8,22.76,21.7,24.7
2008,8.8,8.42,7.1,9.6
2008,8.88,8.15,6.98,9.99
2008,31.8,30.45,23.7,31.25
2008,NA,NA,22.59,NA
2008,36.54,32.37,27.86,37.3
2008,NA,NA,NA,12.02
2008,1.21,3.92,2.53,9.65
2008,12.75,14.74,9.69,14.84
2008,16.55,18.19,17.03,20.22
2008,1.65,0.98,2.19,2.85
2008,NA,4.1,0.54,6.47
2008,1.09,1.48,1.2,2.4
2008,NA,NA,NA,28.6
2008,NA,8.17,NA,NA
2008,20.1,28.21,25.53,29.91
2008,7.36,9.61,4.83,7.82
2008,32.8,32.91,31.86,33.36
2008,11.45,7.63,7.56,15
2008,3.57,3.53,3.04,3.96
2007,3.55,3.81,2.6,2.38
2007,4.67,NA,2.09,5.87
2007,18.56,14.41,17.42,NA
2007,8.17,5.53,5.87,8.07
2007,2.95,2.71,0.75,3.23
2007,20.1,16.64,17.09,NA
2007,2.45,NA,2.87,2.66
2007,2.15,NA,2.15,1.88
2007,20.7,16.7,15.89,NA
2007,25.2,22.06,22.94,NA
2007,9.4,9.76,8.08,NA
2007,9.8,9.33,7.34,NA
2007,NA,34.2,28.77,NA
2007,NA,26.22,33.55,NA
2007,12.02,NA,NA,NA
2007,31.2,25.06,31.62,NA
2007,10.4,5.06,2.65,9.9
2007,19.3,16.05,15.65,NA
2007,19.1,14.87,17.82,NA
2007,2,2.25,1.43,NA
2007,2.57,5.62,0.47,6.97
2007,1.17,1.8,0.99,NA
2007,28.8,NA,NA,NA
2007,NA,NA,6.54,NA
2007,NA,28.97,25.17,NA
2007,9.11,9.61,6.03,9.95
2007,NA,6.98,NA,NA
2007,35.8,37.25,34.4,NA
2007,12.4,9.8,6.71,NA
2007,NA,NA,0.85,NA
2006,13.75,9.61,13.83,12.65
2006,8.55,5.5,8.74,7.31
2006,12.02,9.99,12.02,NA
2006,2.02,1.75,2.07,1.95
2006,29.07,26.17,30.04,22.22
2006,7.53,NA,NA,NA
2006,3.9,3.35,3.23,3.3
2006,4.96,2.45,5.21,5.03
2006,29.31,23.2,32.58,28.36
